Select your 3 favorite characters!
"Mom Lalonde, Gamzee Makara, Nepeta Leijon"
"Karkat Vantas, John Egbert, Roxy Lalonde"
"Jade Harley, John Egbert, Vriska Serket"
""
"Tavros Nitram, Nepeta Leijon, Roxy Lalonde"
"Lil Hal, Dirk Strider, Dave Strider"
"Calliope, Jade Harley, Terezi Pyrope"
"Jade Harley, Kankri Vantas, Vriska Serket"
"Vriska Serket, Dave Strider, Karkat Vantas"
"Gamzee Makara, Jade Harley, John Egbert"
"Jade Harley, Caliborn, Jake English"
"Bro Strider, Gamzee Makara, Terezi Pyrope"
"Gamzee Makara, Sollux Captor, Dirk Strider"
"Mituna Captor, John Egbert, Dirk Strider"
"Karkat Vantas, Sollux Captor, Terezi Pyrope"
"Vriska Serket, John Egbert, Kanaya Maryam"
"Aradia Megido, John Egbert, Dave Strider"
"Aradia Megido, Rose Lalonde, WV (sigh... ""The Mayor"")"
"Karkat Vantas, Kankri Vantas, Calliope"
"Nepeta Leijon, Vriska Serket, Equius Zahhak"
"Roxy Lalonde, Aradia Megido, Nepeta Leijon"
"Nepeta Leijon, Mituna Captor, Tavros Nitram"
"Kanaya Maryam, Rose Lalonde, Becquerel"
""
"Eridan Ampora, AR, Mituna Captor"
"Nepeta Leijon, Tavros Nitram, Terezi Pyrope"
"Karkat Vantas, Dave Strider, Jake English"
"Aradia Megido, Kanaya Maryam, Feferi Peixes"
"John Egbert, Nepeta Leijon, Terezi Pyrope"
"Nepeta Leijon, Jade Harley, Roxy Lalonde"
"John Egbert, Davepeta, Vriska Serket"
"Dirk Strider, Karkat Vantas, Eridan Ampora"
"Roxy Lalonde, John Egbert, Nepeta Leijon"
"Vriska Serket, Rose Lalonde, Roxy Lalonde"
"Tavros Nitram, Aradia Megido, Terezi Pyrope"
"Aradia Megido, SS, Dad Egbert"
"Aradia Megido, Dave Strider, Lil Hal"
"Karkat Vantas, Nepeta Leijon, Terezi Pyrope"
"Gamzee Makara, CD, WV (sigh... ""The Mayor"")"
