Select your 3 least favorite characters!
"Eridan Ampora, Cronus Ampora, Bro Strider"
"Dave Strider, Vriska Serket, Roxy Lalonde"
"Cronus Ampora, Vriska Serket, Aranea Serket"
"Kurloz Makara, N/A, Lord English"
"Meenah Peixes, Eridan Ampora, Jake English"
"Lil Hal, Equius Zahhak, Lord English"
"Rose Lalonde, Vriska Serket, Equius Zahhak"
"Eridan Ampora, Equius Zahhak, Bro Strider"
"Cronus Ampora, Damara Megido, Caliborn"
"Rufioh Nitram, Cronus Ampora, DD"
"Cronus Ampora, Kanaya Maryam, Gamzee Makara"
"Vriska Serket, Cronus Ampora, Bro Strider"
"Feferi Peixes, Rufioh Nitram, Horuss Zahhak"
"Cronus Ampora, Doc Scratch, Lord English"
"Cronus Ampora, Rufioh Nitram, Doc Scratch"
"Rose Lalonde, Gamzee Makara, Jake English"
""
"Jane Crocker, Kankri Vantas, Kurloz Makara"
"Feferi Peixes, Dirk Strider, Latula Pyrope"
"Damara Megido, Horuss Zahhak, Aranea Serket"
""
"Grandpa Harley, Caliborn, Kurloz Makara"
"Cronus Ampora, Mituna Captor, Kankri Vantas"
"Aranea Serket, Jane Crocker, Tavros Nitram"
"Aradia Megido, Porrim Maryam, Jake English"
"Eridan Ampora, Equius Zahhak, Gamzee Makara"
"Bro Strider, Gamzee Makara, Lil Hal"
"Jane Crocker, Damara Megido, Kankri Vantas"
"Tavros Nitram, Sollux Captor, Aradia Megido"
"Damara Megido, Jane Crocker, Gamzee Makara"
"Vriska Serket, Caliborn, Horuss Zahhak"
"Dad Egbert, Mom Lalonde, Nannasprite"
"Dad Egbert, Vriska Serket, The Condesce"
"Terezi Pyrope, Lord English, Caliborn"
"Horuss Zahhak, Rufioh Nitram, Cronus Ampora"
"Gamzee Makara, Cronus Ampora, Horuss Zahhak"
""
"Tavros Nitram, Bro Strider, Grandpa Harley"
"Doc Scratch, Bro Strider, Eridan Ampora"
""
"Gamzee Makara, Eridan Ampora, hussie self insert"
"WV (sigh... ""The Mayor""), The Handmaid, Mituna Captor"
"Vriska Serket, Meenah Peixes, Aranea Serket"
""
"Caliborn, The Condesce, Doc Scratch"
"Equius Zahhak, DD, Cronus Ampora"
"Cronus Ampora, Kurloz Makara, Lil Hal"
"Equius Zahhak, Jane Crocker, Jake English"
"Equius Zahhak, Eridan Ampora, The Condesce"
"Gamzee Makara, Cronus Ampora, Jane Crocker"
"Vriska Serket, Nannasprite, Equius Zahhak"
"Dave Strider, Karkat Vantas, Eridan Ampora"
"Kankri Vantas, Cronus Ampora, Mituna Captor"
"Eridan Ampora, Aranea Serket, The Condesce"
"Cronus Ampora, Davepeta, Jasprose"
"Gamzee Makara, Eridan Ampora, Equius Zahhak"
"Damara Megido, Jane Crocker, Doc Scratch"
"Sollux Captor, Jake English, Mituna Captor"
"Jake English, Meenah Peixes, Calliope"
"Doc Scratch, Kankri Vantas, Eridan Ampora"
"Tavros Nitram, Jack Noir (B1), Lil Hal"
"Mituna Captor, Bro Strider, Cronus Ampora"
"Rufioh Nitram, Caliborn, Dirk Strider"
"Meenah Peixes, Bro Strider, Cronus Ampora"
"Rufioh Nitram, Meenah Peixes, Lil Hal"
"Bro Strider, Jane Crocker, Calliope"
"Vriska Serket, Calliope, Eridan Ampora"
"Kankri Vantas, Tavros Nitram, Cronus Ampora"
"Cronus Ampora, Gamzee Makara, Jane Crocker"
"Eridan Ampora, Caliborn, Bro Strider"
"Cronus Ampora, Grandpa Harley, Zebruh Codakk"
"Eridan Ampora, Jasprose, Bro Strider"
